rsi,pivot_k,direction,locations,trigger,target_r,n_trades,winrate,avg_r,profit_factor,total_r,max_dd_r,n_instruments,n_instruments_positive,score,per_instrument
14,3,long,sr,candle,2.5,73,0.4383561643835616,0.4210461738539487,1.763966689418704,30.736370691338255,12.844236105296426,5,4,3.5974200863597536,"GOOG:n=3,avgR=0.17; EURUSD:n=19,avgR=0.38; MSFT:n=19,avgR=0.56; SP500:n=16,avgR=-0.43; NASDAQ:n=16,avgR=1.20"
9,3,long,sr,candle,2.5,104,0.40384615384615385,0.3340035643397909,1.567285520745475,34.73637069133825,12.344236105296424,5,4,3.4061813843562736,"GOOG:n=3,avgR=0.17; EURUSD:n=28,avgR=0.56; MSFT:n=33,avgR=0.11; SP500:n=21,avgR=-0.06; NASDAQ:n=19,avgR=0.85"
14,3,long,sr,candle,1.5,77,0.5324675324675324,0.3184533761063826,1.6877766780536736,24.520909960191457,7.0,5,3,2.794417034378297,"GOOG:n=3,avgR=-0.17; EURUSD:n=20,avgR=0.38; MSFT:n=19,avgR=0.25; SP500:n=19,avgR=-0.08; NASDAQ:n=16,avgR=0.90"
9,3,long,sr,either,2.5,154,0.3961038961038961,0.21758253205319475,1.3682644321776778,33.50770993619199,9.564714972102713,5,5,2.7001282138484917,"GOOG:n=7,avgR=0.28; EURUSD:n=44,avgR=0.12; MSFT:n=47,avgR=0.04; SP500:n=30,avgR=0.36; NASDAQ:n=26,avgR=0.52"
14,3,long,bb,candle,1.5,3,1.0,1.5,inf,4.5,0.0,2,2,2.598076211353316,"EURUSD:n=2,avgR=1.50; NASDAQ:n=1,avgR=1.50"
9,3,long,bb,candle,1.5,3,1.0,1.5,inf,4.5,0.0,2,2,2.598076211353316,"EURUSD:n=2,avgR=1.50; NASDAQ:n=1,avgR=1.50"
9,3,long,sr+fib,candle,2.5,9,0.5555555555555556,0.8447080532556002,2.9005931198251007,7.602372479300402,3.0,4,3,2.5341241597668005,"EURUSD:n=2,avgR=0.75; MSFT:n=3,avgR=1.03; SP500:n=1,avgR=-1.00; NASDAQ:n=3,avgR=1.33"
14,5,long,sr+bb,candle,2.5,1,1.0,2.5,inf,2.5,0.0,1,1,2.5,"NASDAQ:n=1,avgR=2.50"
9,5,long,sr+bb,candle,2.5,1,1.0,2.5,inf,2.5,0.0,1,1,2.5,"NASDAQ:n=1,avgR=2.50"
9,5,long,bb,candle,2.5,1,1.0,2.5,inf,2.5,0.0,1,1,2.5,"NASDAQ:n=1,avgR=2.50"
14,5,long,bb,candle,2.5,1,1.0,2.5,inf,2.5,0.0,1,1,2.5,"NASDAQ:n=1,avgR=2.50"
9,3,long,sr+fib,either,2.5,12,0.5,0.6751977066083669,2.350395413216734,8.102372479300403,4.0,4,3,2.338953465999351,"EURUSD:n=3,avgR=0.17; MSFT:n=4,avgR=1.40; SP500:n=2,avgR=-1.00; NASDAQ:n=3,avgR=1.33"
14,5,long,sr+bb,either,2.5,3,0.6666666666666666,1.3333333333333333,5.0,4.0,1.0,3,2,2.309401076758503,"EURUSD:n=1,avgR=2.50; MSFT:n=1,avgR=-1.00; NASDAQ:n=1,avgR=2.50"
14,5,long,sr,either,2.5,47,0.40425531914893614,0.3331234501860775,1.5974928695920074,15.656802158745641,7.0,5,3,2.28377931376965,"GOOG:n=3,avgR=-1.18; EURUSD:n=15,avgR=0.55; MSFT:n=12,avgR=0.62; SP500:n=7,avgR=-0.68; NASDAQ:n=10,avgR=0.82"
14,5,long,sr,candle,1.5,37,0.5405405405405406,0.37385720069104084,1.8555992948280386,13.832716425568512,7.0,5,3,2.274084572045645,"GOOG:n=2,avgR=-1.00; EURUSD:n=12,avgR=0.67; MSFT:n=8,avgR=0.56; SP500:n=7,avgR=-1.00; NASDAQ:n=8,avgR=1.29"
14,5,long,sr,candle,2.5,36,0.4166666666666667,0.3691677995197592,1.6536570901466556,13.290040782711332,7.188852679897369,5,3,2.215006797118555,"GOOG:n=2,avgR=-1.00; EURUSD:n=11,avgR=0.44; MSFT:n=8,avgR=0.91; SP500:n=7,avgR=-1.00; NASDAQ:n=8,avgR=1.27"
9,3,long,sr,macd,2.5,121,0.4132231404958678,0.19865715281410953,1.343785421045534,24.037515490507253,15.538860473804062,5,5,2.185228680955205,"GOOG:n=7,avgR=0.28; EURUSD:n=36,avgR=0.04; MSFT:n=34,avgR=0.09; SP500:n=23,avgR=0.61; NASDAQ:n=21,avgR=0.17"
9,3,long,sr,candle,1.5,109,0.48623853211009177,0.2066138528457932,1.404670737775339,22.52090996019146,10.326659908588162,5,3,2.1571119526970213,"GOOG:n=3,avgR=-0.17; EURUSD:n=30,avgR=0.42; MSFT:n=33,avgR=-0.06; SP500:n=24,avgR=0.04; NASDAQ:n=19,avgR=0.60"
9,3,long,sr+bb,candle,1.5,2,1.0,1.5,inf,3.0,0.0,2,2,2.121320343559643,"EURUSD:n=1,avgR=1.50; NASDAQ:n=1,avgR=1.50"
14,3,long,sr+bb,candle,1.5,2,1.0,1.5,inf,3.0,0.0,2,2,2.121320343559643,"EURUSD:n=1,avgR=1.50; NASDAQ:n=1,avgR=1.50"
14,3,long,sr+fib,either,2.5,10,0.5,0.6602372479300402,2.3204744958600805,6.602372479300402,4.0,4,3,2.087853499540218,"EURUSD:n=2,avgR=0.75; MSFT:n=3,avgR=1.03; SP500:n=2,avgR=-1.00; NASDAQ:n=3,avgR=1.33"
14,3,long,bb,either,1.5,11,0.6363636363636364,0.5909090909090909,2.625,6.5,3.0,4,2,1.9598237397554636,"EURUSD:n=6,avgR=1.08; MSFT:n=1,avgR=-1.00; SP500:n=3,avgR=-0.17; NASDAQ:n=1,avgR=1.50"
9,3,long,bb,either,1.5,13,0.6153846153846154,0.5384615384615384,2.4,7.0,2.5,4,2,1.9414506867883017,"EURUSD:n=7,avgR=1.14; MSFT:n=3,avgR=-0.17; SP500:n=2,avgR=-1.00; NASDAQ:n=1,avgR=1.50"
14,3,long,sr,either,2.5,104,0.38461538461538464,0.18099189347243413,1.3014110486256187,18.82315692113315,11.029879966247842,5,5,1.8457623932360963,"GOOG:n=6,avgR=0.07; EURUSD:n=28,avgR=0.07; MSFT:n=28,avgR=0.12; SP500:n=22,avgR=0.08; NASDAQ:n=20,avgR=0.56"
9,5,long,sr+fib,candle,2.5,6,0.5,0.75,2.5,4.5,3.0,4,3,1.8371173070873834,"EURUSD:n=1,avgR=2.50; MSFT:n=2,avgR=0.75; SP500:n=2,avgR=-1.00; NASDAQ:n=1,avgR=2.50"
